Number of Nodes,Accuracy
1,0.5110619469026548
2,0.4811946902654867
3,0.5564159292035398
4,0.5663716814159292
5,0.5442477876106194
6,0.5896017699115044
7,0.5995575221238938
8,0.5586283185840708
9,0.5663716814159292
10,0.5741150442477876
11,0.5719026548672567
12,0.5442477876106194
13,0.5807522123893806
14,0.5575221238938053
15,0.5464601769911505
16,0.5663716814159292
17,0.5641592920353983
18,0.5707964601769911
19,0.5719026548672567
20,0.5674778761061947
